tf,club_rank_atlas,goblet_rank_atlas,club_rank_resolver,goblet_rank_resolver,club_rank_orig10,goblet_rank_orig10,both_fam,n_lib,club_top25_all3,above_goblet_all3,robust_club_specific
CREB3L4,1,4,1.0,2.0,1.0,2.0,False,3,True,True,True
MITF,2,1,2.0,1.0,2.0,1.0,True,5,True,False,False
FOXA1,3,2,4.0,3.0,4.0,3.0,True,6,True,False,False
XBP1,4,10,3.0,4.0,3.0,4.0,True,4,True,True,True
ELF3,5,3,5.0,7.0,8.0,7.0,True,4,True,False,False
HNF4G,6,5,12.0,6.0,20.0,6.0,True,5,True,False,False
STAT1,7,6,10.0,5.0,11.0,5.0,True,6,True,False,False
MECOM,8,7,6.0,11.0,7.0,10.0,True,3,True,False,False
ZNF189,9,15,13.0,14.0,10.0,15.0,False,3,True,True,True
CREB3L2,10,31,7.0,15.0,6.0,13.0,False,3,True,True,True
ZNF587,11,21,14.0,17.0,12.0,16.0,False,3,True,True,True
SATB2,12,14,160.0,18.0,463.0,21.0,False,3,False,False,False
ZKSCAN1,13,16,20.0,12.0,26.0,12.0,True,5,False,False,False
THRB,14,52,47.0,30.0,82.0,34.0,False,3,False,False,False
NCOA2,15,20,18.0,43.0,13.0,41.0,True,4,True,True,True
FOXP4,16,22,9.0,20.0,9.0,18.0,False,3,True,True,True
FOXA3,17,48,36.0,19.0,56.0,22.0,False,3,False,False,False
SMAD4,18,18,19.0,31.0,15.0,31.0,True,5,True,False,False
MESP1,19,55,11.0,37.0,17.0,39.0,False,3,True,True,True
NCOA3,20,17,29.0,46.0,29.0,47.0,True,4,False,False,False
NR2F6,21,8,22.0,13.0,40.0,14.0,True,4,False,False,False
ELF5,22,75,30.0,44.0,54.0,50.0,True,5,False,False,False
NFE2,23,24,16.0,36.0,18.0,36.0,True,5,True,True,True
ZNF69,24,63,17.0,28.0,19.0,27.0,False,3,True,True,True
DMRTA1,25,73,15.0,24.0,16.0,24.0,False,3,True,True,True
