study,atlas_club,atlas_goblet,club_recall,goblet_recall,club_jaccard,goblet_jaccard,atlas_club_called_goblet,atlas_goblet_called_club,frac_hybrid_or_unassigned
Barbry_Leroy_2020,7095,1116,0.6474982381959126,0.0241935483870967,0.6076719576719577,0.0199556541019955,0.0334038054968287,0.4166666666666667,0.2983802216538789
Nawijn_2021,1782,651,0.2424242424242424,0.1582181259600614,0.2315112540192926,0.0980952380952381,0.2239057239057239,0.1290322580645161,0.5815865187011919
Banovich_Kropski_2020,813,151,0.2792127921279212,0.1059602649006622,0.2648774795799299,0.0981595092024539,0.014760147601476,0.2913907284768212,0.6898340248962656
Seibold_2020,496,2189,0.1310483870967742,0.1795340338053906,0.0883152173913043,0.1773465703971119,0.0544354838709677,0.1096391046139789,0.7299813780260708
Lafyatis_Rojas_2019,122,21,0.3032786885245901,0.0476190476190476,0.2824427480916031,0.0454545454545454,0.0081967213114754,0.4285714285714285,0.6643356643356644
Krasnow_2020,51,22,0.0784313725490196,0.2272727272727272,0.0784313725490196,0.2,0.0588235294117647,0.0,0.8356164383561644
Misharin_2021,23,1112,0.5217391304347826,0.0971223021582733,0.375,0.0970350404312668,0.0434782608695652,0.0080935251798561,0.8854625550660793
Meyer_2019,5,0,0.0,0.0,0.0,0.0,0.2,0.0,0.8
Misharin_Budinger_2018,4,9,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.7692307692307693
Teichmann_Meyer_2019,4,11,0.25,0.0,0.1,0.0,0.0,0.5454545454545454,0.3333333333333333
