lineage,tf,atlas_D246,atlas_D275,resol_D246,resol_D275,best
ciliated,FOXJ1,0.002,0.002,0.002,0.002,0.002
ciliated,MYB,0.527,0.824,0.527,0.824,0.527
ciliated,RFX2,0.016,0.007,0.016,0.007,0.007
ciliated,RFX3,0.062,0.02,0.062,0.02,0.02
ciliated,TP73,0.086,0.046,0.086,0.046,0.046
club,CEBPB,0.252,0.945,0.416,0.343,0.252
club,ELF3,0.031,0.197,0.033,0.06,0.031
club,KLF5,0.013,0.101,0.028,0.083,0.013
club,SOX2,0.728,0.589,0.574,0.651,0.574
goblet,CREB3L1,0.44,0.483,0.638,0.488,0.44
goblet,SPDEF,0.041,0.284,0.117,0.569,0.041
goblet,XBP1,0.078,0.631,0.155,0.457,0.078
