arm,donor,lineage,family,finished,clean_exit,source,n_path_tables,n_split_tables,n_tfs
atlas_label,D246,all,binding,True,True,path_tables,53,85,209
atlas_label,D246,all,coexpression,True,True,path_tables,47,37,613
atlas_label,D246,ciliated,binding,True,True,path_tables,32,25,210
atlas_label,D246,ciliated,coexpression,True,True,path_tables,46,35,613
atlas_label,D246,club,binding,True,True,path_tables,38,31,209
atlas_label,D246,club,coexpression,True,False,split_tables,0,22,610
atlas_label,D246,goblet,binding,True,True,path_tables,42,30,209
atlas_label,D246,goblet,coexpression,True,True,path_tables,47,37,613
atlas_label,D275,all,binding,True,True,path_tables,27,24,210
atlas_label,D275,all,coexpression,True,True,path_tables,28,26,613
atlas_label,D275,ciliated,binding,True,True,path_tables,23,22,210
atlas_label,D275,ciliated,coexpression,True,True,path_tables,33,30,613
atlas_label,D275,club,binding,True,True,path_tables,18,18,210
atlas_label,D275,club,coexpression,True,True,path_tables,26,22,613
atlas_label,D275,goblet,binding,True,False,split_tables,0,0,0
atlas_label,D275,goblet,coexpression,True,True,path_tables,26,25,613
resolver,D246,all,binding,True,True,path_tables,53,40,209
resolver,D246,all,coexpression,True,True,path_tables,47,37,613
resolver,D246,ciliated,binding,True,True,path_tables,32,25,210
resolver,D246,ciliated,coexpression,True,True,path_tables,46,35,613
resolver,D246,club,binding,True,True,path_tables,40,29,209
resolver,D246,club,coexpression,True,True,path_tables,45,36,613
resolver,D246,goblet,binding,True,True,path_tables,39,33,209
resolver,D246,goblet,coexpression,True,True,path_tables,41,31,613
resolver,D275,all,binding,True,True,path_tables,27,24,210
resolver,D275,all,coexpression,True,True,path_tables,28,26,613
resolver,D275,ciliated,binding,True,True,path_tables,23,22,210
resolver,D275,ciliated,coexpression,True,True,path_tables,33,30,613
resolver,D275,club,binding,True,True,path_tables,23,19,210
resolver,D275,club,coexpression,True,True,path_tables,20,19,613
resolver,D275,goblet,binding,True,True,path_tables,14,10,210
resolver,D275,goblet,coexpression,True,True,path_tables,23,19,613
