tf,atlas_Donor_1,atlas_Donor_2,resol_Donor_1,resol_Donor_2,n_support,pct_club_mean
FOXJ1,False,False,False,False,0,0.007
ZNF474,False,False,False,False,0,0.008
CCDC17,False,False,False,False,0,0.009
RFX2,False,False,False,False,0,0.015
RFX3,False,False,False,False,0,0.019
ZNF473,False,False,False,False,0,0.027
ZNF440,False,False,False,False,0,0.031
TIGD4,False,False,False,False,0,0.031
ZBTB7C,False,False,False,False,0,0.04
ADNP,False,False,False,False,0,0.042
BAZ2A,False,False,False,False,0,0.054
CTCF,False,False,False,False,0,0.059
MGA,False,False,False,False,0,0.062
CHAMP1,False,False,False,False,0,0.064
MYSM1,False,False,False,False,0,0.065
PAX9,False,False,False,False,0,0.066
ZFX,False,False,False,False,0,0.068
RFX7,False,False,False,False,0,0.068
TP73,False,False,False,False,0,0.072
CEBPZ,False,False,False,False,0,0.074
CREBZF,False,False,False,False,0,0.076
ZNF644,False,False,False,False,0,0.078
PRMT3,False,False,False,False,0,0.08
FOXM1,False,False,False,False,0,0.085
PCGF6,False,False,False,False,0,0.086
CENPA,False,False,False,False,0,0.092
ZBED4,False,False,False,False,0,0.093
ZNF740,False,False,False,False,0,0.093
SPEN,False,False,False,False,0,0.095
BPTF,False,False,False,False,0,0.096
ZNF12,False,False,False,False,0,0.096
ELF3,False,False,False,False,0,0.096
ZFHX2,False,False,False,False,0,0.1
ZNF518A,False,False,False,False,0,0.1
PA2G4,False,False,False,False,0,0.1
TFDP1,False,False,False,False,0,0.102
ZZZ3,False,False,False,False,0,0.102
ZNF507,False,False,False,False,0,0.103
RBAK,False,False,False,False,0,0.103
ZNF236,False,False,False,False,0,0.104
MYBL2,False,False,False,False,0,0.104
GATAD2B,False,False,False,False,0,0.104
SRCAP,False,False,False,False,0,0.105
ZNF318,False,False,False,False,0,0.107
ZNF33A,False,False,False,False,0,0.109
ZBTB40,False,False,False,False,0,0.11
ZNF146,False,False,False,False,0,0.11
ARID2,False,False,False,False,0,0.111
ZNF609,False,False,False,False,0,0.111
SAFB,False,False,False,False,0,0.112
E2F7,False,False,False,False,0,0.114
ZKSCAN8,False,False,False,False,0,0.114
DNMT1,False,False,False,False,0,0.115
E2F8,False,False,False,False,0,0.117
TCF3,False,False,False,False,0,0.118
REXO4,False,False,False,False,0,0.122
ZFP62,False,False,False,False,0,0.123
MTF2,False,False,False,False,0,0.124
ZNF214,False,False,False,False,0,0.124
SON,False,False,False,False,0,0.126
TFCP2,False,False,False,False,0,0.129
ZNF148,False,False,False,False,0,0.131
ZNF592,False,False,False,False,0,0.132
MYNN,False,False,False,False,0,0.135
CDC5L,False,False,False,False,0,0.135
ZNF24,False,False,False,False,0,0.135
ZNF510,False,False,False,False,0,0.136
RBCK1,False,False,False,False,0,0.139
KMT2A,False,False,False,False,0,0.14
NKRF,False,False,False,False,0,0.141
E2F3,False,False,False,False,0,0.142
ZBTB11,False,False,False,False,0,0.143
PATZ1,False,False,False,False,0,0.147
ZNF93,False,False,False,False,0,0.148
ZNF207,False,False,False,False,0,0.149
AHCTF1,False,False,False,False,0,0.149
AKAP8L,False,False,False,False,0,0.15
KDM2A,False,False,False,False,0,0.151
ZNF407,False,False,False,False,0,0.152
LCORL,False,False,False,False,0,0.152
ZNF500,False,False,False,False,0,0.155
ZNF100,False,False,False,False,0,0.155
ZFP3,False,False,False,False,0,0.155
ZNF451,False,False,False,False,0,0.158
ZNF587,False,False,False,False,0,0.159
JRK,False,False,False,False,0,0.162
ZNF90,False,False,False,False,0,0.169
SIX2,False,False,False,False,0,0.174
ZNF714,False,False,False,False,0,0.174
ZNF487,False,False,False,False,0,0.175
RXRB,False,False,False,False,0,0.176
ZNF182,False,False,False,False,0,0.177
ZNF599,False,False,False,False,0,0.182
E4F1,False,False,False,False,0,0.182
ZNF396,False,False,False,False,0,0.185
ZBTB6,False,False,False,False,0,0.185
ZNF326,False,False,False,False,0,0.186
ZC3H8,False,False,False,False,0,0.189
ZNF75A,False,False,False,False,0,0.191
ZNF140,False,False,False,False,0,0.191
FOXJ3,False,False,False,False,0,0.192
CXXC1,False,False,False,False,0,0.192
GLYR1,False,False,False,False,0,0.193
PHF20,False,False,False,False,0,0.195
SAFB2,False,False,False,False,0,0.196
ZNF320,False,False,False,False,0,0.197
ZBTB44,False,False,False,False,0,0.197
ZNF197,False,False,False,False,0,0.198
TERF1,False,False,False,False,0,0.2
IKZF2,False,False,False,False,0,0.2
OTX1,False,False,False,False,0,0.201
MXD3,False,False,False,False,0,0.202
ZNF514,False,False,False,False,0,0.204
ZBED5,False,False,False,False,0,0.205
ZNF587B,False,False,False,False,0,0.205
NFX1,False,False,False,False,0,0.206
ASH1L,False,False,False,False,0,0.207
ZNF273,False,False,False,False,0,0.21
AKAP8,False,False,False,False,0,0.211
NR2C1,False,False,False,False,0,0.215
UBP1,False,False,False,False,0,0.215
PRDM4,False,False,False,False,0,0.216
MBD3,False,False,False,False,0,0.216
CLOCK,False,False,False,False,0,0.218
DR1,False,False,False,False,0,0.219
ZNF511,False,False,False,False,0,0.22
HMGA1,False,False,False,False,0,0.221
SOX5,False,False,False,False,0,0.222
ZNF28,False,False,False,False,0,0.223
TOPORS,False,False,False,False,0,0.225
SETDB1,False,False,False,False,0,0.227
ZSCAN29,False,False,False,False,0,0.228
ZNF76,False,False,False,False,0,0.228
ZNF124,False,False,False,False,0,0.228
ZNF780B,False,False,False,False,0,0.229
ZNF783,False,False,False,False,0,0.231
CENPT,False,False,False,False,0,0.233
ZNF551,False,False,False,False,0,0.233
ZNF446,False,False,False,False,0,0.234
ZNF397,False,False,False,False,0,0.234
CREB3L4,False,False,False,False,0,0.234
ZNF232,False,False,False,False,0,0.234
NFATC3,False,False,False,False,0,0.235
MECP2,False,False,False,False,0,0.236
ZNF268,False,False,False,False,0,0.237
GPBP1L1,False,False,False,False,0,0.237
TP53,False,False,False,False,0,0.238
ZNF107,False,False,False,False,0,0.238
ZNF345,False,False,False,False,0,0.238
GTF2I,False,False,False,False,0,0.239
ZNF384,False,False,False,False,0,0.239
E2F4,False,False,False,False,0,0.241
HES6,False,False,False,False,0,0.244
ZNF844,False,False,False,False,0,0.244
HMGA2,False,False,False,False,0,0.245
ELK4,False,False,False,False,0,0.246
ETV4,False,False,False,False,0,0.246
HMG20A,False,False,False,False,0,0.248
GABPA,False,False,False,False,0,0.248
ARNTL2,False,False,False,False,0,0.249
ADNP2,False,False,False,False,0,0.249
ZNF678,False,False,False,False,0,0.25
ZNF141,False,False,False,False,0,0.251
ZNF445,False,False,False,False,0,0.253
CARF,False,False,False,False,0,0.254
ZNF263,False,False,False,False,0,0.255
IKZF5,False,False,False,False,0,0.257
THAP5,False,False,False,False,0,0.257
ZNF830,False,False,False,False,0,0.258
ZNF253,False,False,False,False,0,0.259
ZNF770,False,False,False,False,0,0.26
ZNF136,False,False,False,False,0,0.261
FOXK2,False,False,False,False,0,0.262
ZNF692,False,False,False,False,0,0.262
ZNF689,False,False,False,False,0,0.263
MYB,False,False,False,False,0,0.264
ZNF766,False,False,False,False,0,0.265
ZNF700,False,False,False,False,0,0.265
ZNF92,False,False,False,False,0,0.266
TGIF2,False,False,False,False,0,0.267
ATF6B,False,False,False,False,0,0.27
ZSCAN18,False,False,False,False,0,0.27
ZNF335,False,False,False,False,0,0.27
ZNF559,False,False,False,False,0,0.274
ZNF211,False,False,False,False,0,0.275
THAP6,False,False,False,False,0,0.276
ZNF680,False,False,False,False,0,0.278
ZNF606,False,False,False,False,0,0.282
YY1,False,False,False,False,0,0.283
ZNF675,False,False,False,False,0,0.284
