lineage,tf,atlas_Donor_1,atlas_Donor_2,resol_Donor_1,resol_Donor_2,best
ciliated,FOXJ1,0.003,0.003,0.003,0.003,0.003
ciliated,MYB,0.972,0.025,0.972,0.025,0.025
ciliated,RFX2,0.005,0.018,0.005,0.018,0.005
ciliated,RFX3,0.006,0.023,0.006,0.023,0.006
ciliated,TP73,0.025,0.03,0.025,0.03,0.025
club,CEBPB,0.876,0.852,0.934,0.428,0.428
club,ELF3,0.128,0.071,0.117,0.07,0.07
club,FOXA2,0.405,0.625,0.475,0.867,0.405
club,KLF5,0.465,0.769,0.59,0.852,0.465
club,SOX2,0.596,0.619,0.712,0.517,0.517
goblet,CREB3L1,0.899,0.435,0.905,0.396,0.396
goblet,SPDEF,0.426,0.634,0.463,0.806,0.426
goblet,XBP1,0.763,0.787,0.898,0.694,0.694
