sample_id,class,published,called
muc7488,basal,0.7433,0.6893
muc7488,secretory,0.2503,0.2625
muc7488,ciliated,0.0064,0.0101
muc7489,basal,0.6146,0.7063
muc7489,secretory,0.3497,0.2255
muc7489,ciliated,0.0356,0.0223
muc7490,basal,0.9417,0.8329
muc7490,secretory,0.0583,0.1171
muc7490,ciliated,0.0,0.0033
muc7495,basal,0.7084,0.6641
muc7495,secretory,0.2883,0.2753
muc7495,ciliated,0.0033,0.0072
muc7497,basal,0.9746,0.9135
muc7497,secretory,0.025,0.0756
muc7497,ciliated,0.0005,0.0008
muc7499,basal,0.8024,0.6873
muc7499,secretory,0.1816,0.2421
muc7499,ciliated,0.016,0.02
muc7501,basal,0.8861,0.8367
muc7501,secretory,0.1139,0.1142
muc7501,ciliated,0.0,0.0058
muc7503,basal,0.6913,0.6391
muc7503,secretory,0.293,0.2869
muc7503,ciliated,0.0157,0.0204
muc7507,basal,0.6184,0.6837
muc7507,secretory,0.0924,0.1716
muc7507,ciliated,0.2893,0.1114
muc7508,basal,0.8177,0.7711
muc7508,secretory,0.1694,0.1977
muc7508,ciliated,0.0129,0.0053
muc7509,basal,0.7008,0.6711
muc7509,secretory,0.1302,0.1213
muc7509,ciliated,0.169,0.1851
muc7510,basal,0.3585,0.4751
muc7510,secretory,0.0322,0.1348
muc7510,ciliated,0.6093,0.3624
muc7511,basal,0.5501,0.6106
muc7511,secretory,0.1062,0.193
muc7511,ciliated,0.3436,0.1593
muc7512,basal,0.6387,0.5608
muc7512,secretory,0.07,0.193
muc7512,ciliated,0.2913,0.2165
muc7513,basal,0.6356,0.6248
muc7513,secretory,0.0632,0.1463
muc7513,ciliated,0.3013,0.1969
