dataset,donor,day,n_cells,club_atlas,club_resolver,club_pct_atlas
nasal GSE121600,D246,2,1492,10,22.0,0.6702412868632708
nasal GSE121600,D246,4,1904,26,21.0,1.365546218487395
nasal GSE121600,D246,7,1381,143,51.0,10.354815351194786
nasal GSE121600,D246,12,1459,73,86.0,5.003427004797807
nasal GSE121600,D246,17,1802,85,184.0,4.716981132075472
nasal GSE121600,D246,22,2302,65,116.0,2.823631624674196
nasal GSE121600,D275,7,4232,1048,37.0,24.763705103969755
nasal GSE121600,D275,12,3712,447,18.0,12.042025862068966
nasal GSE121600,D275,28,4133,925,437.0,22.380837164287442
nasal GSE121600,D275,47,2349,206,394.0,8.769689229459344
bronchial GSE233145,Donor_1,0,4578,397,,8.671909130624726
bronchial GSE233145,Donor_1,3,2230,444,28.0,19.91031390134529
bronchial GSE233145,Donor_1,5,4093,724,32.0,17.688736867823113
bronchial GSE233145,Donor_1,7,3095,597,55.0,19.289176090468498
bronchial GSE233145,Donor_1,14,6642,875,68.0,13.173742848539597
bronchial GSE233145,Donor_1,21,1426,139,11.0,9.747545582047685
bronchial GSE233145,Donor_1,28,6313,604,103.0,9.56755900522731
bronchial GSE233145,Donor_2,0,2400,165,2.0,6.875
bronchial GSE233145,Donor_2,3,19387,1407,16.0,7.257440552947852
bronchial GSE233145,Donor_2,5,3367,716,99.0,21.265221265221264
bronchial GSE233145,Donor_2,7,8806,1383,485.0,15.705200999318647
bronchial GSE233145,Donor_2,14,5462,821,410.0,15.031124130355181
bronchial GSE233145,Donor_2,21,5792,893,304.0,15.417817679558011
bronchial GSE233145,Donor_2,28,4123,432,199.0,10.477807421780257
