study,published_atlas,pipeline_class,resolver,resolver_hybrid,resolver_unassigned,donors,fold_disagreement
Barbry_Leroy_2020,7095,5266,5266,1862,1908,10,1.3473224458792252
Banovich_Kropski_2020,813,2144,2264,948,705,17,2.784747847478475
Seibold_2020,496,318,420,378,1971,6,1.559748427672956
Nawijn_2021,1782,479,532,178,1596,6,3.720250521920668
Misharin_2021,23,514,514,1001,282,2,22.347826086956523
Krasnow_2020,51,561,561,320,568,3,11.0
Misharin_Budinger_2018,4,35,101,70,226,1,25.25
Lafyatis_Rojas_2019,122,83,157,87,68,1,1.891566265060241
Teichmann_Meyer_2019,4,0,31,3,34,0,7.75
Meyer_2019,5,0,34,14,14,0,6.8
