k_donors,reliability_nasal_r0.228,reliability_bronchial_r0.493
1,0.228,0.493
2,0.3713355048859935,0.6604152712659076
3,0.46978021978021983,0.744712990936556
4,0.5415676959619952,0.7954820492133925
5,0.596234309623431,0.8294078061911171
6,0.6392523364485981,0.8536796536796538
7,0.6739864864864864,0.8719050025265285
8,0.7026194144838213,0.8860930128061109
9,0.726628895184136,0.8974514563106797
10,0.7470511140235911,0.9067500459812395
11,0.7646341463414633,0.9145025295109612
12,0.7799315849486887,0.9210649229332089
13,0.7933618843683083,0.9266917293233082
14,0.805247225025227,0.93156971251181
15,0.8158396946564885,0.9358390280941533
16,0.8253393665158372,0.93960690887433
17,0.8339070567986232,0.942956795679568
18,0.8416735028712059,0.9459545890629997
19,0.8487460815047021,0.9486530281547497
20,0.8552138034508628,0.9510948201022476
21,0.8611510791366906,0.9533149171270718
22,0.8666205943331029,0.9553422002994804
23,0.8716755319148936,0.9572007428667905
24,0.8763613068545805,0.9589107707269633
