lineage,n_cells,split_half_rho,split_half_sd,top20_split,rho_vs_full,top20_vs_full,n_samples
ciliated,200,0.9982420863409421,0.00025715484502480154,19.0,0.967845714944798,17.0,2.0
ciliated,400,0.998479885353578,0.00048321151878577047,19.333333333333332,0.9860716877718066,19.666666666666668,3.0
ciliated,800,0.9992681958528923,0.0002500540357449069,19.666666666666668,0.994809507778966,20.0,3.0
ciliated,885,0.9992626563549346,0.0004518922954093138,19.666666666666668,0.9946154864288727,19.666666666666668,3.0
club,100,0.9245014877285533,0.0571337931638015,16.333333333333332,0.4011952743185436,9.0,2.0
club,200,0.9563446405426722,0.015021927229240773,17.666666666666668,0.6890489994815794,12.0,3.0
club,400,0.9881531497880597,0.001858420527603531,17.666666666666668,0.8475210295144798,14.666666666666666,4.0
club,800,0.9929931081352025,0.0026029276371251184,19.0,0.961499047883594,15.333333333333334,5.0
club,1500,0.9968557010793825,0.0006409338145960481,19.333333333333332,0.9976828922555839,19.666666666666668,8.0
club,1514,0.9976815725005846,0.00020757215457551916,18.333333333333332,0.9980840804101717,18.666666666666668,8.0
