study,n_club_ref,n_goblet_ref,auroc,thr_club,thr_goblet,bal_acc,f1_club,frac_decided,note
Banovich_Kropski_2020,813,151,0.6874221060091396,1.2294832870846917,1.3498801438013712,0.5945601213458356,0.8822381262199089,0.9284232365145229,
Barbry_Leroy_2020,7095,1116,0.45052904640301483,1.2036084808754208,1.0071157918771731,0.6236039444862924,0.7159468438538206,0.9328948970892705,
Krasnow_2020,51,22,0.7647058823529411,1.2562054065675512,1.274925702412923,0.5458333333333334,0.7297297297297297,0.7123287671232876,
Lafyatis_Rojas_2019,122,21,0.5850897736143639,1.2491839488580347,1.22628742535909,0.4307692307692308,0.6,0.9230769230769231,
Meyer_2019,5,0,,,,,,,fewer than 20 reference cells in one class
Misharin_2021,23,1112,0.8249530810134501,1.2968678907693312,1.183156805038452,0.7415241958852506,0.11363636363636363,0.8872246696035242,
Misharin_Budinger_2018,4,9,,,,,,,fewer than 20 reference cells in one class
Nawijn_2021,1782,651,0.5881877315569072,1.302979980510441,1.1396573130289713,0.5100898070535529,0.539872408293461,0.8709412248253185,
Seibold_2020,496,2189,0.5781418087504974,1.1598812611196243,0.9362619970638902,0.5563387241689128,0.2152777777777778,0.5389199255121043,
Teichmann_Meyer_2019,4,11,,,,,,,fewer than 20 reference cells in one class
