study,atlas_club,atlas_goblet,club_recall,goblet_recall,club_jaccard,goblet_jaccard,atlas_club_called_goblet,atlas_goblet_called_club,frac_hybrid_or_unassigned
Barbry_Leroy_2020,7095,1116,0.6474982381959126,0.024193548387096774,0.6076719576719577,0.019955654101995565,0.03340380549682875,0.4166666666666667,0.29838022165387895
Nawijn_2021,1782,651,0.24242424242424243,0.15821812596006143,0.2315112540192926,0.0980952380952381,0.2239057239057239,0.12903225806451613,0.5815865187011919
Banovich_Kropski_2020,813,151,0.27921279212792127,0.10596026490066225,0.26487747957992996,0.09815950920245399,0.014760147601476014,0.2913907284768212,0.6898340248962656
Seibold_2020,496,2189,0.1310483870967742,0.1795340338053906,0.08831521739130435,0.1773465703971119,0.05443548387096774,0.10963910461397898,0.7299813780260708
Lafyatis_Rojas_2019,122,21,0.30327868852459017,0.047619047619047616,0.2824427480916031,0.045454545454545456,0.00819672131147541,0.42857142857142855,0.6643356643356644
Krasnow_2020,51,22,0.0784313725490196,0.22727272727272727,0.0784313725490196,0.2,0.058823529411764705,0.0,0.8356164383561644
Misharin_2021,23,1112,0.5217391304347826,0.09712230215827339,0.375,0.09703504043126684,0.043478260869565216,0.008093525179856115,0.8854625550660793
Meyer_2019,5,0,0.0,0.0,0.0,0.0,0.2,0.0,0.8
Misharin_Budinger_2018,4,9,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.7692307692307693
Teichmann_Meyer_2019,4,11,0.25,0.0,0.1,0.0,0.0,0.5454545454545454,0.3333333333333333
