tf,rank,viper,prior_chipseq,prior_expression,min_fdr,mean_nes,n_methods_supporting,method_consistency,both_families_positive,prior_plausible_club_tf,tier
CREB3L4,1,11.816325005005465,,11.816325005005465,8.951948646088466e-12,11.816325005005465,1,,False,False,candidate
MITF,2,11.097938628311145,9.131520543915151,4.467879802936173,5.6493692507642934e-14,11.097938628311145,1,,True,False,candidate
XBP1,3,9.100540751000555,4.898757105910831,7.657587160450701,7.5070530722245795e-06,9.100540751000555,1,,True,True,candidate
FOXA1,4,8.460486376558942,6.131131414669945,5.80585802805085,0.000262915311994,8.460486376558942,1,,True,False,candidate
FOXA2,5,8.14490507823268,6.710527017700088,4.256543828943559,1.372216000068136e-05,8.14490507823268,1,,True,True,candidate
CREB3L2,6,7.32192560381209,,7.32192560381209,1.686613925007275e-05,7.32192560381209,1,,False,False,candidate
MECOM,7,7.061885285453607,3.349428498527896,6.246905179556186,2.7254928515755856e-06,7.061885285453607,1,,True,False,candidate
ELF3,8,6.719828869794449,2.4143759494453123,6.242167073533788,0.0007181666781508,6.719828869794449,1,,True,True,candidate
FOXP4,9,6.5635755746524795,,6.5635755746524795,4.510696492217727e-05,6.5635755746524795,1,,False,False,candidate
ZNF189,10,6.306022063213826,,6.306022063213826,0.0012703326632112,6.306022063213826,1,,False,False,candidate
STAT1,11,6.053531857761092,4.206319252510983,4.357726742434033,0.0045504623478401,6.053531857761092,1,,True,False,candidate
ZNF587,12,6.046786150028056,,6.046786150028056,7.04905808753589e-05,6.046786150028056,1,,False,False,candidate
NCOA2,13,5.837983505709347,2.387680020473859,5.311591467155804,0.0012218621939517,5.837983505709347,1,,True,False,candidate
STAT3,14,5.73410429334807,4.841558489471112,2.29694395703747,0.0051394374267228,5.73410429334807,1,,True,False,candidate
SMAD4,15,5.7231924826982175,4.246599239958477,3.6938532379306674,0.0010276870770901,5.7231924826982175,1,,True,False,candidate
DMRTA1,16,5.720665805948201,,5.720665805948201,0.0002175092216455,5.720665805948201,1,,False,False,candidate
MESP1,17,5.5090918269630675,,5.5090918269630675,0.0001088043920951,5.5090918269630675,1,,False,False,candidate
NFE2,18,5.450859163975911,3.979163931672154,3.5138565807585582,0.0109456811307691,5.450859163975911,1,,True,False,candidate
ZNF69,19,5.371385654573095,,5.371385654573095,0.0004686107222374,5.371385654573095,1,,False,False,candidate
HNF4G,20,5.330469328666509,2.1104405835528217,4.723054866025012,0.0136537015678839,5.330469328666509,1,,True,False,candidate
NCOA1,21,5.244728379280547,1.986167115713637,4.843285078861744,0.0029370018775125,5.244728379280547,1,,True,False,candidate
SREBF2,22,5.240343918090591,4.132434390178762,3.0760285466099644,0.0199734679846197,5.240343918090591,1,,True,False,candidate
NR3C2,23,5.134361114893411,,5.134361114893411,0.0034160196587326,5.134361114893411,1,,False,False,candidate
ZNF236,24,5.071894286567631,,5.071894286567631,0.0072648222771635,5.071894286567631,1,,False,False,candidate
ZNF704,25,4.990388311858323,,4.990388311858323,0.0036971162960191,4.990388311858323,1,,False,False,candidate
ZKSCAN1,26,4.985800090734102,3.335376303372214,3.7248219987189137,0.0143162743755324,4.985800090734102,1,,True,False,candidate
ETV6,27,4.9799798968765066,3.047981700973982,3.8605188415447556,0.0081332940358078,4.9799798968765066,1,,True,False,candidate
ZNF407,28,4.898541573717342,,4.898541573717342,0.0027801453416192,4.898541573717342,1,,False,False,candidate
NCOA3,29,4.734280804859045,2.170780785774877,4.328272659534439,0.0219508802409547,4.734280804859045,1,,True,False,candidate
FOXO3,30,4.720498482362666,2.537325398886681,3.9373454805493666,0.0124729660423195,4.720498482362666,1,,True,False,candidate
NR2C2,31,4.71526506665046,1.8957630189719825,4.122353130908915,0.0234381343294237,4.71526506665046,1,,True,False,candidate
ZNF710,32,4.585347259209942,,4.585347259209942,0.0167280152198649,4.585347259209942,1,,False,False,candidate
ZNF117,33,4.5538221731078306,,4.5538221731078306,0.0085532068161581,4.5538221731078306,1,,False,False,candidate
ZNF552,34,4.530127666969847,,4.530127666969847,0.0021585679475918,4.530127666969847,1,,False,False,candidate
HIVEP1,35,4.505905019550144,,4.505905019550144,0.0082574872291735,4.505905019550144,1,,False,False,candidate
CLOCK,36,4.478256784200151,-0.7090523266843962,3.9576596688816235,0.0355021861224079,4.478256784200151,1,,False,False,candidate
PRDM8,37,4.472343009300929,,4.472343009300929,0.0025953988735622,4.472343009300929,1,,False,False,candidate
SP1,38,4.452023269103216,3.6323028356929554,2.6332344574877693,0.0264677530305992,4.452023269103216,1,,True,False,candidate
ZNF875,39,4.376663346380791,,4.376663346380791,0.0084817463811641,4.376663346380791,1,,False,False,candidate
NR2F6,40,4.355153332231725,2.617983764333101,3.385965072241578,0.0265353040317724,4.355153332231725,1,,True,False,candidate
BHLHA15,41,4.350436594101715,,4.350436594101715,0.0092205994998521,4.350436594101715,1,,False,False,candidate
ZSCAN16,42,4.343762319873368,,4.343762319873368,0.0104107322651755,4.343762319873368,1,,False,False,candidate
ZNF609,43,4.274702877821252,,4.274702877821252,0.0301409159315056,4.274702877821252,1,,False,False,candidate
OVOL2,44,4.162315864772456,,4.162315864772456,0.0421587710278612,4.162315864772456,1,,False,False,candidate
ZBTB42,45,4.082460406924707,,4.082460406924707,0.0114438382846191,4.082460406924707,1,,False,False,candidate
ZBTB41,46,3.961662298297661,,3.961662298297661,0.0214334228615753,3.961662298297661,1,,False,False,candidate
ZNF81,47,3.9495330344972377,,3.9495330344972377,0.0370067759186414,3.9495330344972377,1,,False,False,candidate
