tf,contrast,method,nes,n_networks,fdr
ADNP,basal_to_ciliated,viper,2.583923247765192,4.0,0.1212185151454835
ADNP,basal_to_club,viper,-1.6540544752607051,4.0,0.4539923529352269
ADNP,basal_to_goblet,viper,-4.151674349954594,4.0,0.0552639827531289
ADNP2,basal_to_ciliated,viper,-2.72776551212308,3.0,0.0613383366705555
ADNP2,basal_to_club,viper,-3.270851981700891,3.0,0.0570522800081605
ADNP2,basal_to_goblet,viper,-4.270017383585107,3.0,0.0084107479235791
AEBP1,basal_to_ciliated,viper,-7.979837276169446,2.0,5.257343645444912e-08
AEBP1,basal_to_club,viper,-6.903244253663287,2.0,4.756115409888907e-06
AEBP1,basal_to_goblet,viper,-7.945800031648908,2.0,6.552076059080909e-08
AEBP2,basal_to_ciliated,viper,-1.7855575843125384,3.0,0.314829124307392
AEBP2,basal_to_club,viper,-1.957388594060062,3.0,0.3509719159117181
AEBP2,basal_to_goblet,viper,-3.064039223546331,3.0,0.0681944037317534
AHCTF1,basal_to_ciliated,viper,4.8399112266454996,3.0,0.000628672451954
AHCTF1,basal_to_club,viper,0.12356355171301049,3.0,0.6033229745056177
AHCTF1,basal_to_goblet,viper,-2.207220622381709,3.0,0.2004897750815805
AHDC1,basal_to_ciliated,viper,-0.2979090337623475,3.0,0.1063273644181058
AHDC1,basal_to_club,viper,-5.486321545334109,3.0,0.0004533123858678
AHDC1,basal_to_goblet,viper,-5.056377048929434,3.0,0.0008602992098488
AHR,basal_to_ciliated,viper,-6.600958085317827,5.0,0.0011522067759168
AHR,basal_to_club,viper,3.3395730567414157,5.0,0.1494788910373082
AHR,basal_to_goblet,viper,-1.8821330226972783,5.0,0.1738331345583319
AHRR,basal_to_ciliated,viper,-3.7519037807677087,2.0,0.0129808951296094
AHRR,basal_to_club,viper,-7.620974188745711,2.0,3.0916740123968256e-08
AHRR,basal_to_goblet,viper,-8.533144919352063,2.0,8.43967825626482e-09
AIRE,basal_to_ciliated,viper,-5.295726954186439,3.0,0.0013023046445875
AIRE,basal_to_club,viper,-6.214959469664365,3.0,1.910977542136808e-05
AIRE,basal_to_goblet,viper,-4.570585873939772,3.0,0.0024202196270488
AKAP8,basal_to_ciliated,viper,-0.7964138293948878,3.0,0.1458278293144606
AKAP8,basal_to_club,viper,-4.527286096002049,3.0,0.0083946220923674
AKAP8,basal_to_goblet,viper,-4.860124274833409,3.0,0.0021584161866267
AKAP8L,basal_to_ciliated,viper,3.436523478810626,3.0,0.0118144467189853
AKAP8L,basal_to_club,viper,-0.4471822673611756,3.0,0.1943414440653203
AKAP8L,basal_to_goblet,viper,-2.0812786493680386,3.0,0.0874870672649412
AKNA,basal_to_ciliated,viper,7.6368456803082,3.0,2.8071330948434414e-05
AKNA,basal_to_club,viper,1.9507277608648068,3.0,0.3278183587090293
AKNA,basal_to_goblet,viper,2.308024655967839,3.0,0.2199344878131262
ALX1,basal_to_ciliated,viper,-1.6241764799427985,3.0,0.2759429360747147
ALX1,basal_to_club,viper,-8.387943266820447,3.0,3.782056350223503e-09
ALX1,basal_to_goblet,viper,-6.110522919561353,3.0,4.5791897180189606e-05
ALX3,basal_to_ciliated,viper,-5.347028091806556,3.0,0.0006775355864074
ALX3,basal_to_club,viper,-6.670894899497091,3.0,7.450099338985964e-06
ALX3,basal_to_goblet,viper,-4.587501376146755,3.0,0.0077088723631929
ALX4,basal_to_ciliated,viper,-3.0091766271328386,3.0,0.0467963686108132
ALX4,basal_to_club,viper,-8.138305281959042,3.0,1.479640038246474e-07
ALX4,basal_to_goblet,viper,-7.757547657064909,3.0,2.636879228770792e-06
ANKZF1,basal_to_ciliated,viper,5.403757128847649,3.0,0.0008205711460007
ANKZF1,basal_to_club,viper,1.4138033611754055,3.0,0.5868951035322054
ANKZF1,basal_to_goblet,viper,0.33687788797231166,3.0,0.8752298978219019
AR,basal_to_ciliated,viper,-16.82870422798983,5.0,7.401823476154129e-28
AR,basal_to_club,viper,-8.435111172961419,5.0,2.163317598230939e-06
AR,basal_to_goblet,viper,-15.632043648450214,5.0,6.805893741921467e-24
ARHGAP35,basal_to_ciliated,viper,0.22780832185383348,2.0,0.8608913209846194
ARHGAP35,basal_to_club,viper,2.8030479916604043,2.0,0.0403835652392385
ARHGAP35,basal_to_goblet,viper,1.3962852857560286,2.0,0.299546306919631
ARID2,basal_to_ciliated,viper,5.015120923083477,4.0,0.0030109912442347
ARID2,basal_to_club,viper,2.5840590876038694,4.0,0.1528417981900901
ARID2,basal_to_goblet,viper,0.6413420401126511,4.0,0.5565431145545837
ARID3A,basal_to_ciliated,viper,-17.491019930796284,5.0,6.883733562092765e-28
ARID3A,basal_to_club,viper,-16.01888886637246,5.0,3.843511487096406e-25
ARID3A,basal_to_goblet,viper,-17.168033284747963,5.0,1.3619489475196983e-27
ARID3B,basal_to_ciliated,viper,2.68689043115112,2.0,0.0453489700855824
ARID3B,basal_to_club,viper,-1.6290761841026422,2.0,0.3797934209455575
ARID3B,basal_to_goblet,viper,-2.0977197723690066,2.0,0.299546306919631
ARID5A,basal_to_ciliated,viper,-4.395951678447793,2.0,0.0050859944368611
ARID5A,basal_to_club,viper,-0.9054018792420121,2.0,0.7215612303440231
ARID5A,basal_to_goblet,viper,-1.0393904248474066,2.0,0.6195325496371074
ARID5B,basal_to_ciliated,viper,-8.38147375850015,3.0,1.567316565746108e-06
ARID5B,basal_to_club,viper,-4.364558776732963,3.0,0.0204600086037835
ARID5B,basal_to_goblet,viper,-5.657674212833646,3.0,0.0007888117218485
ARNT,basal_to_ciliated,viper,9.053365081104474,5.0,1.3042620969745076e-07
ARNT,basal_to_club,viper,2.4997403540480083,5.0,0.319627467776334
ARNT,basal_to_goblet,viper,1.0599941795010117,5.0,0.6168581384826377
ARNT2,basal_to_ciliated,viper,-2.4567206770483976,3.0,0.1223761624023774
ARNT2,basal_to_club,viper,-2.033744682821901,3.0,0.3136943554803748
ARNT2,basal_to_goblet,viper,-4.883530266879946,3.0,0.0032457300579936
ARX,basal_to_ciliated,viper,8.890308415477577,3.0,1.3201801821251551e-08
ARX,basal_to_club,viper,1.368400322402472,3.0,0.4526554177661128
ARX,basal_to_goblet,viper,1.2771363538313323,3.0,0.6240534699800444
ASCL1,basal_to_ciliated,viper,-9.977643142780325,4.0,6.721490449166515e-11
ASCL1,basal_to_club,viper,-10.34843933934339,4.0,2.5207886756605256e-11
ASCL1,basal_to_goblet,viper,-8.707991829067407,4.0,4.7228655103432515e-08
ASCL2,basal_to_ciliated,viper,-9.054925556794977,3.0,3.352671697206675e-09
ASCL2,basal_to_club,viper,-8.369711051006398,3.0,5.720487375714825e-07
ASCL2,basal_to_goblet,viper,-6.932266906203263,3.0,6.524895884673153e-05
ASCL3,basal_to_ciliated,viper,9.80366265037841,3.0,5.202771119280475e-10
ASCL3,basal_to_club,viper,-3.6808240211212193,3.0,0.0317854744427818
ASCL3,basal_to_goblet,viper,0.6833337585422765,3.0,0.3115556159174358
ASCL4,basal_to_ciliated,viper,-5.026995334380534,3.0,0.001237331006254
ASCL4,basal_to_club,viper,-6.402342482242019,3.0,3.5890539835977146e-05
ASCL4,basal_to_goblet,viper,-4.89148624147373,3.0,0.0030909374866227
ASCL5,basal_to_ciliated,viper,-1.221892098352102,2.0,0.4015875746489823
ASCL5,basal_to_club,viper,-4.772070390041212,2.0,0.0017371484033667
ASCL5,basal_to_goblet,viper,-4.928815225325364,2.0,0.0015316479768519
ASH1L,basal_to_ciliated,viper,1.345279432045553,3.0,0.3593133528732892
ASH1L,basal_to_club,viper,2.8174942692291074,3.0,0.1231761890424771
ASH1L,basal_to_goblet,viper,0.35051341236266037,3.0,0.6951818965455043
ATF1,basal_to_ciliated,viper,-6.229067051065137,5.0,0.0008176827372047
ATF1,basal_to_club,viper,-10.549831989999893,5.0,2.169727684926865e-09
ATF1,basal_to_goblet,viper,-11.110467495291921,5.0,5.254761427369222e-10
ATF2,basal_to_ciliated,viper,6.163673523564877,5.0,0.0001961686166679
ATF2,basal_to_club,viper,0.28617963585785494,5.0,0.3896045016896211
ATF2,basal_to_goblet,viper,-2.1918468957595043,5.0,0.2366106103850329
ATF3,basal_to_ciliated,viper,-7.810274668761573,6.0,0.0001050503021697
ATF3,basal_to_club,viper,-2.8700560857703277,6.0,0.1542037727678837
ATF3,basal_to_goblet,viper,-3.1911699432557667,6.0,0.2361455698445001
ATF4,basal_to_ciliated,viper,-8.339508177141571,4.0,8.413817179300528e-06
ATF4,basal_to_club,viper,-3.812707317377833,4.0,0.030908356007203
ATF4,basal_to_goblet,viper,-4.349806329285277,4.0,0.0104161515836827
ATF5,basal_to_ciliated,viper,-1.9196688780663116,3.0,0.0908646212621002
ATF5,basal_to_club,viper,-0.10224810995322502,3.0,0.2959213263235707
ATF5,basal_to_goblet,viper,3.025770636770235,3.0,0.1293957700346366
ATF6,basal_to_ciliated,viper,2.298376147278381,3.0,0.1441147814560357
ATF6,basal_to_club,viper,2.716103295900403,3.0,0.1190839198305875
ATF6,basal_to_goblet,viper,2.804498614652872,3.0,0.1551584810353478
ATF6B,basal_to_ciliated,viper,2.7163942537934633,2.0,0.0389729541618902
ATF6B,basal_to_club,viper,-0.5554797944904362,2.0,0.8419532149934617
ATF6B,basal_to_goblet,viper,-0.3040437479178636,2.0,0.8859496286115655
ATF7,basal_to_ciliated,viper,-6.753608009574927,4.0,2.8532125234950186e-06
ATF7,basal_to_club,viper,-2.392923127282844,4.0,0.0631313152073171
ATF7,basal_to_goblet,viper,-4.338341706912362,4.0,0.0181740457254378
ATMIN,basal_to_ciliated,viper,-4.886260052118384,3.0,0.0043194678266895
ATMIN,basal_to_club,viper,-0.07922133763628023,3.0,0.3635691450515505
ATMIN,basal_to_goblet,viper,-0.5146814035712404,3.0,0.3871906542612079
ATOH7,basal_to_ciliated,viper,-0.39500365803103193,3.0,0.7438844327316031
ATOH7,basal_to_club,viper,-4.824454526869042,3.0,0.0024051050869743
ATOH7,basal_to_goblet,viper,-2.6370010266746027,3.0,0.177918968012428
ATOH8,basal_to_ciliated,viper,-4.024230276412274,3.0,0.0311558192568355
ATOH8,basal_to_club,viper,0.486954899405055,3.0,0.8316507256481632
ATOH8,basal_to_goblet,viper,-2.398223465401867,3.0,0.2645011923979106
BACH1,basal_to_ciliated,viper,-2.2916698994025655,6.0,0.1189450418777691
BACH1,basal_to_club,viper,3.1838693912047256,6.0,0.0886732562225101
BACH1,basal_to_goblet,viper,1.8345404214664731,6.0,0.1095281735675938
BACH2,basal_to_ciliated,viper,-10.295143763197476,4.0,9.780658496651609e-11
BACH2,basal_to_club,viper,-7.192575124381709,4.0,8.9981481268735e-06
BACH2,basal_to_goblet,viper,-6.534851502446895,4.0,0.0001446644590084
BARHL1,basal_to_ciliated,viper,8.681813181336567,3.0,1.1014899897944988e-08
BARHL1,basal_to_club,viper,2.620497644326991,3.0,0.2045951446271646
BARHL1,basal_to_goblet,viper,2.384140886171489,3.0,0.2731239072769512
BARX1,basal_to_ciliated,viper,-6.981357205917607,3.0,3.957150046941525e-05
BARX1,basal_to_club,viper,-5.546723408422825,3.0,0.0017015045937494
BARX1,basal_to_goblet,viper,-5.000593428541227,3.0,0.0092923024898512
BARX2,basal_to_ciliated,viper,6.254216724500387,3.0,2.4007732775469012e-05
BARX2,basal_to_club,viper,-1.7613662034284048,3.0,0.4236909870065141
BARX2,basal_to_goblet,viper,-0.619562155595697,3.0,0.7452080653907994
BATF,basal_to_ciliated,viper,-6.3806617009902,5.0,0.0001933561208555
BATF,basal_to_club,viper,-0.08911230261671406,5.0,0.5539433541182788
BATF,basal_to_goblet,viper,0.9316749870077984,5.0,0.4849716851981005
BATF2,basal_to_ciliated,viper,0.25050904023769144,3.0,0.7510196901747422
BATF2,basal_to_club,viper,1.4892009192207247,3.0,0.4963878144997786
BATF2,basal_to_goblet,viper,3.6907068794607722,3.0,0.0894286751885072
BATF3,basal_to_ciliated,viper,2.74250842743822,3.0,0.0999542663519097
BATF3,basal_to_club,viper,1.3123815334960132,3.0,0.6084052885347038
BATF3,basal_to_goblet,viper,1.1262525556657974,3.0,0.6484928061870403
BAZ2A,basal_to_ciliated,viper,1.6355110628291116,3.0,0.3495217531428516
BAZ2A,basal_to_club,viper,2.5140886874649055,3.0,0.1589878284490134
BAZ2A,basal_to_goblet,viper,0.777397096566704,3.0,0.6820638878025618
BAZ2B,basal_to_ciliated,viper,4.055598284465096,3.0,0.0066459128859039
BAZ2B,basal_to_club,viper,1.9821247799234152,3.0,0.321540466172012
BAZ2B,basal_to_goblet,viper,0.6818099691050394,3.0,0.6867181543813966
BBX,basal_to_ciliated,viper,-0.7329933835978691,3.0,0.2550247436201098
BBX,basal_to_club,viper,-1.4740385354584842,3.0,0.5501486686937413
BBX,basal_to_goblet,viper,-1.480780084079902,3.0,0.5134587344260204
BCL11A,basal_to_ciliated,viper,-11.316093800555677,5.0,5.080119680708078e-09
BCL11A,basal_to_club,viper,-11.320712003159827,5.0,5.8116409977598434e-09
BCL11A,basal_to_goblet,viper,-10.303120382960579,5.0,1.7499537239252555e-06
BCL11B,basal_to_ciliated,viper,-9.31330404607463,3.0,9.785426348011674e-11
BCL11B,basal_to_club,viper,-11.424202701933124,3.0,4.669397173156243e-15
BCL11B,basal_to_goblet,viper,-9.972670030187807,3.0,1.81243273313815e-11
BCL6,basal_to_ciliated,viper,7.781864997798614,5.0,3.7002265178709897e-06
BCL6,basal_to_club,viper,2.0681250583734956,5.0,0.2768625023370079
BCL6,basal_to_goblet,viper,2.161097015164175,5.0,0.2452624593877637
BCL6B,basal_to_ciliated,viper,-4.280248147044939,3.0,0.0115000569941107
BCL6B,basal_to_club,viper,-6.367656112413927,3.0,0.0001632657600584
BCL6B,basal_to_goblet,viper,-5.796943829329427,3.0,0.0014194346542421
BHLHA15,basal_to_ciliated,viper,-1.6723109558784757,2.0,0.2873242094279324
BHLHA15,basal_to_club,viper,4.350436594101715,2.0,0.0092205994998521
BHLHA15,basal_to_goblet,viper,5.385018855053905,2.0,0.0013190681342786
BHLHE22,basal_to_ciliated,viper,-6.8488937161023395,3.0,5.816410730352503e-07
BHLHE22,basal_to_club,viper,-11.593619861710254,3.0,1.3791450551880097e-17
BHLHE22,basal_to_goblet,viper,-11.614917600495556,3.0,5.286814055028513e-16
BHLHE40,basal_to_ciliated,viper,-10.054921934200497,4.0,2.614993935573016e-10
BHLHE40,basal_to_club,viper,-3.565024948586454,4.0,0.0567926449505571
BHLHE40,basal_to_goblet,viper,-3.5347566091530584,4.0,0.0591230238274528
BHLHE41,basal_to_ciliated,viper,5.105998838945156,2.0,0.0003640511545305
