,dataset_id,donor_id,cell_class,n_cells
Banovich_Kropski_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747THD0005|ciliated,Banovich_Kropski_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747THD0005,ciliated,162
Banovich_Kropski_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747THD0007|ciliated,Banovich_Kropski_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747THD0007,ciliated,46
Banovich_Kropski_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747THD0008|ciliated,Banovich_Kropski_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747THD0008,ciliated,189
Banovich_Kropski_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747THD0009|ciliated,Banovich_Kropski_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747THD0009,ciliated,34
Banovich_Kropski_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747THD0009|club,Banovich_Kropski_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747THD0009,club,29
Banovich_Kropski_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747THD0010|ciliated,Banovich_Kropski_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747THD0010,ciliated,35
Banovich_Kropski_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747THD0010|club,Banovich_Kropski_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747THD0010,club,28
Banovich_Kropski_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747THD0012|ciliated,Banovich_Kropski_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747THD0012,ciliated,68
Banovich_Kropski_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747THD0014|ciliated,Banovich_Kropski_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747THD0014,ciliated,76
Banovich_Kropski_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747THD0014|club,Banovich_Kropski_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747THD0014,club,85
Banovich_Kropski_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747THD0015|ciliated,Banovich_Kropski_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747THD0015,ciliated,57
Banovich_Kropski_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747THD0017|ciliated,Banovich_Kropski_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747THD0017,ciliated,25
Banovich_Kropski_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD071|ciliated,Banovich_Kropski_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD071,ciliated,97
Banovich_Kropski_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD071|club,Banovich_Kropski_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD071,club,26
Banovich_Kropski_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD101|ciliated,Banovich_Kropski_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD101,ciliated,38
