,basal_to_club,basal_to_goblet,basal_to_ciliated
A1BG,0.07548925317396821,-0.2967817532974039,0.4389420209363328
A1BG-AS1,,,0.448088959321556
A2M,,0.5890511126686806,0.3680066035470112
A2ML1,,1.0638478855640285,
A4GALT,-0.502723798848516,-0.009365323731138188,-1.7177685208635862
AAAS,-0.820156704462752,-1.328302566737963,-0.42632132334929485
AACS,0.3341535863563951,1.4238972505595044,-1.2203317297795317
AADAC,1.0422628126141296,0.22687596785811875,-0.035051738716111766
AADAT,,-1.5524135667947867,0.4039360151316203
AAGAB,0.6550301796216181,0.6807206256280961,0.8844967021321917
AAK1,-0.5773374352940513,-0.011526639028746974,-0.5003807924494885
AAMDC,1.206427408679187,1.3064286995805166,0.506368882653103
AAMP,-0.9253186435968312,-0.8964276060430951,-1.2307121367110803
AAR2,0.20252808525160218,-0.23557001178453166,0.13873792770093962
AARS1,0.36426014588377625,0.612999880063083,0.5337627154035316
AARS2,,-0.2890739497791129,-0.20433233106199233
AARSD1,0.0738727719180245,-0.6000118359574468,-0.4006673352234094
AASDH,-0.4873658620794544,-0.9538983932460443,-0.1431146446950447
AASDHPPT,-1.1151922897564783,-1.391874717264729,0.06618075983869173
AASS,-0.14593998711968623,-0.8118630128168549,-1.0366268359541821
AATBC,,-1.0682986188825332,
AATF,-1.0956772830128196,-0.9384007293371098,-0.4025054386613843
ABAT,0.45724277674386093,0.25654714652159755,0.918727496573949
ABCA1,-1.1390977654447545,-0.7721835079149485,-1.1591573257451009
ABCA10,,1.0335717774533726,1.008970932280304
ABCA12,,0.07011621098184304,
ABCA13,-0.254536247460135,0.7632360986734008,0.7941818088000587
ABCA15P,,0.16244114628475087,
ABCA2,,-0.7217147118673767,1.2855879878304202
ABCA3,,1.2810604374735954,0.7696267255984443
ABCA5,0.6581726557222125,1.292601640430239,1.065431524107401
ABCA6,,0.7049904019474448,1.1107250629134202
ABCA7,1.5649568899089572,1.185525489307229,0.7547635634636374
ABCA9,,,1.2104730803279669
ABCB10,0.040886585861258144,0.1558749028423527,1.1297802044543892
ABCB7,-0.7423458588852844,-0.7355712482124683,-0.8431794641189129
ABCB8,-0.14756941924912637,0.44645783856867727,0.6875569753923443
ABCB9,,-0.5679731959912895,
ABCC1,-0.6690789641812133,-0.7984145275017145,-0.9265134815261314
ABCC10,-1.416157335673762,-1.065117370875606,-0.5715176088783058
ABCC2,,,1.554294221095267
ABCC3,-1.3354840856264685,-1.922001676710309,-1.714482390906917
ABCC4,1.5856628903560632,-0.6254350150283928,-1.2140086062188602
ABCC5,-0.6360269716496816,-1.7291826829153671,0.30696565678851917
ABCC5-AS1,,,1.1695482777156927
ABCC6,2.305653605727289,1.351728653155508,1.8223593316098923
ABCC9,-1.1452876210300422,-1.436922384005939,-1.426798430902157
ABCD1,,0.1951999930019158,
ABCD2,,,1.5033763081708797
ABCD3,1.547946084461399,1.651085681475032,1.0509201836597901
ABCD4,-0.35026892300916934,-0.41444837417125485,0.05976203981617125
ABCE1,-0.9200315542214504,-1.3145043535712024,-1.551149316457265
ABCF1,-0.4272767467055084,-0.34055486542315366,-1.0710986500145954
ABCF2,-0.8426060922231169,-0.9690524107373192,-0.7005018492599033
ABCF3,-0.21759509998628807,0.21838348148414488,-0.2552152864871612
ABCG1,-2.168334953392345,-1.1187279558755843,-1.0330864591350855
ABHD1,,0.07752046334456891,
ABHD10,0.04595759125372474,0.5375474824293528,0.8591485423693173
ABHD11,0.7206790125659639,1.0009398895726114,0.834607629429098
ABHD12,0.8182241381176893,0.23594036170353616,-0.8364774634308177
ABHD12B,,1.8688277100631205,1.391708049405306
ABHD13,0.707603452900934,0.6047622591000423,-0.2501576637685029
ABHD14A,-0.8224152440012483,-0.7625133134954157,0.02694612308891146
ABHD14B,-0.45852144462536837,-0.992652282181093,-0.9759808329682294
ABHD15,0.12873737935676732,-0.12331998659997197,0.33693012791129706
ABHD16A,0.5635179755816879,0.27670203478236627,0.06920226154794244
ABHD17A,0.2788760912723452,0.6064930692978652,-0.033543558767156846
ABHD17B,-0.5721762550826271,0.08239873108976874,0.7874846750415627
ABHD17C,0.4842563494244665,0.918447131435977,-0.2860960327164394
ABHD18,0.8769318480829509,0.9938320467814274,0.2454947646264278
ABHD2,0.8531626154614801,1.6660502531504706,1.224707338627331
ABHD3,-0.7073076909791304,0.03098211229614538,0.20837412124201637
ABHD4,0.2776792210124577,-0.159339564748017,-0.39027672762224574
ABHD5,1.2419912796310955,1.2005698772627629,-0.4664968640210191
ABHD6,,-0.5875522370981088,1.4742700356623748
ABHD8,-0.15339205053071214,-0.16335367228178307,-0.3728496161083083
ABI1,-1.18199630794416,-0.8358863302944625,-0.2766870128126969
ABI2,0.3654908148096576,-1.3269982287922768,1.2821514115212052
ABI3BP,,0.3950961230180673,0.05617619709968216
ABITRAM,0.377828355882345,0.4209334104733792,1.8076856325095005
