study,donors_basal,donors_club,donors_goblet,donors_ciliated,cells_basal,cells_club,cells_goblet,cells_ciliated,secretory_cells_scored,resolver_club,resolver_goblet,resolver_hybrid,resolver_secretory_unassigned,atlas_club_ref,atlas_goblet_ref,auroc,bal_acc,frac_decided,used_for,atlas_dataset_id,atlas_doi
Barbry_Leroy_2020,9,10,4,9,30842,5266,424,8507,9972,5266,484,1862,1908,7095,1116,0.4505290464030148,0.6236039444862924,0.9328948970892704,airway subset; secretory resolver; pseudobulk:basal; pseudobulk:club; pseudobulk:goblet; pseudobulk:ciliated; LOSO eval,066943a2-fdac-4b29-b348-40cede398e4e,10.1038/s41591-023-02327-2
Banovich_Kropski_2020,2,17,0,24,82,2144,0,7081,3959,2264,42,948,705,813,151,0.6874221060091396,0.5945601213458356,0.9284232365145229,airway subset; secretory resolver; pseudobulk:basal; pseudobulk:club; pseudobulk:ciliated; LOSO eval,066943a2-fdac-4b29-b348-40cede398e4e,10.1038/s41591-023-02327-2
Seibold_2020,14,6,6,13,28038,318,330,2051,3189,420,420,378,1971,496,2189,0.5781418087504974,0.5563387241689128,0.5389199255121043,airway subset; secretory resolver; pseudobulk:basal; pseudobulk:club; pseudobulk:goblet; pseudobulk:ciliated; LOSO eval,066943a2-fdac-4b29-b348-40cede398e4e,10.1038/s41591-023-02327-2
Nawijn_2021,10,6,6,10,18645,479,497,8009,2838,532,532,178,1596,1782,651,0.5881877315569072,0.5100898070535529,0.8709412248253185,airway subset; secretory resolver; pseudobulk:basal; pseudobulk:club; pseudobulk:goblet; pseudobulk:ciliated; LOSO eval,066943a2-fdac-4b29-b348-40cede398e4e,10.1038/s41591-023-02327-2
Misharin_2021,1,2,1,2,2181,514,136,2762,1933,514,136,1001,282,23,1112,0.8249530810134501,0.7415241958852506,0.8872246696035242,airway subset; secretory resolver; pseudobulk:basal; pseudobulk:club; pseudobulk:goblet; pseudobulk:ciliated; LOSO eval,066943a2-fdac-4b29-b348-40cede398e4e,10.1038/s41591-023-02327-2
Krasnow_2020,3,3,1,3,963,561,39,1430,1506,561,57,320,568,51,22,0.7647058823529411,0.5458333333333334,0.7123287671232876,airway subset; secretory resolver; pseudobulk:basal; pseudobulk:club; pseudobulk:goblet; pseudobulk:ciliated; LOSO eval,066943a2-fdac-4b29-b348-40cede398e4e,10.1038/s41591-023-02327-2
Misharin_Budinger_2018,0,1,0,6,0,35,0,537,437,101,39,70,226,4,9,,,,airway subset; secretory resolver; pseudobulk:club; pseudobulk:ciliated; LOSO eval: too few ref cells,066943a2-fdac-4b29-b348-40cede398e4e,10.1038/s41591-023-02327-2
Lafyatis_Rojas_2019,0,1,0,5,0,83,0,597,314,157,2,87,68,122,21,0.5850897736143639,0.4307692307692308,0.9230769230769232,airway subset; secretory resolver; pseudobulk:club; pseudobulk:ciliated; LOSO eval,066943a2-fdac-4b29-b348-40cede398e4e,10.1038/s41591-023-02327-2
Teichmann_Meyer_2019,0,0,0,2,0,0,0,101,73,31,0,3,34,4,11,,,,airway subset; secretory resolver; pseudobulk:ciliated; LOSO eval: too few ref cells,066943a2-fdac-4b29-b348-40cede398e4e,10.1038/s41591-023-02327-2
Meyer_2019,0,0,0,2,0,0,0,92,64,34,2,14,14,5,0,,,,airway subset; secretory resolver; pseudobulk:ciliated; LOSO eval: too few ref cells,066943a2-fdac-4b29-b348-40cede398e4e,10.1038/s41591-023-02327-2
