tf,library,n_targets,wt_mean_z,nes
CREB3L4,ARCHS4_Coexpression,227,1.1005519712730283,7.510602884984374
CREB3L4,Enrichr_Queries,233,0.8094528060376954,6.931085860843548
CREB3L4,GTEx_Coexpression,203,1.1411454232981955,5.800606986984748
ELF3,ARCHS4_Coexpression,215,0.783736166418333,3.965989945053181
ELF3,Enrichr_Queries,268,0.2655803210112996,1.379123972931542
ELF3,GTEx_Coexpression,235,0.8162457427327009,4.010881468306464
ELF3,ReMap_ChIP-seq,444,0.34131813248012877,2.4143759494453123
FOXA2,ARCHS4_Coexpression,134,0.35327675854324625,1.6411940931486324
FOXA2,ENCODE_ChIP-seq,395,0.1280142301480015,2.7309794103393084
FOXA2,Enrichr_Queries,210,-0.23257130143748964,2.6034591058420515
FOXA2,GTEx_Coexpression,177,0.9711469294646536,2.8002659118954165
FOXA2,Literature_ChIP-seq,395,0.36284423061064425,4.641871690018361
FOXA2,ReMap_ChIP-seq,385,0.3509406241605509,3.7571058756969937
XBP1,ARCHS4_Coexpression,241,0.62247792483752,4.039885960482924
XBP1,Enrichr_Queries,274,-0.2755722344911334,4.620134363722694
XBP1,GTEx_Coexpression,202,1.139081986499605,4.557283757744943
XBP1,ReMap_ChIP-seq,344,-0.3887203802527384,4.898757105910831
