,tf,contrast,method,nes,n_networks,fdr,rank,both_fam
basal_to_club,CREB3L4,basal_to_club,viper,11.816325005005464,3.0,8.951948646088466e-12,1,False
basal_to_club,MITF,basal_to_club,viper,11.097938628311145,5.0,5.6493692507642934e-14,2,True
basal_to_club,XBP1,basal_to_club,viper,9.100540751000556,4.0,7.5070530722245795e-06,3,True
basal_to_club,FOXA1,basal_to_club,viper,8.460486376558942,6.0,0.000262915311994,4,True
basal_to_club,FOXA2,basal_to_club,viper,8.14490507823268,6.0,1.372216000068136e-05,5,True
basal_to_club,CREB3L2,basal_to_club,viper,7.32192560381209,3.0,1.686613925007275e-05,6,False
basal_to_club,MECOM,basal_to_club,viper,7.061885285453607,3.0,2.7254928515755856e-06,7,True
basal_to_club,ELF3,basal_to_club,viper,6.719828869794449,4.0,0.0007181666781508,8,True
basal_to_club,FOXP4,basal_to_club,viper,6.5635755746524795,3.0,4.510696492217727e-05,9,False
basal_to_club,ZNF189,basal_to_club,viper,6.306022063213826,3.0,0.0012703326632112,10,False
basal_to_club,STAT1,basal_to_club,viper,6.053531857761092,6.0,0.0045504623478401,11,True
basal_to_club,ZNF587,basal_to_club,viper,6.046786150028056,3.0,7.04905808753589e-05,12,False
basal_to_club,NCOA2,basal_to_club,viper,5.837983505709347,4.0,0.0012218621939517,13,True
basal_to_club,STAT3,basal_to_club,viper,5.73410429334807,6.0,0.0051394374267228,14,True
basal_to_club,SMAD4,basal_to_club,viper,5.7231924826982175,5.0,0.0010276870770901,15,True
basal_to_club,DMRTA1,basal_to_club,viper,5.720665805948201,3.0,0.0002175092216455,16,False
basal_to_club,MESP1,basal_to_club,viper,5.5090918269630675,3.0,0.0001088043920951,17,False
basal_to_club,NFE2,basal_to_club,viper,5.450859163975911,5.0,0.0109456811307691,18,True
basal_to_club,ZNF69,basal_to_club,viper,5.371385654573095,3.0,0.0004686107222374,19,False
basal_to_club,HNF4G,basal_to_club,viper,5.330469328666509,5.0,0.0136537015678839,20,True
basal_to_goblet,MITF,basal_to_goblet,viper,12.906324726030093,5.0,1.0448830140216929e-17,1,True
basal_to_goblet,CREB3L4,basal_to_goblet,viper,11.526592039776569,3.0,1.616622381244304e-11,2,False
basal_to_goblet,FOXA1,basal_to_goblet,viper,10.66949640822824,6.0,4.926389612454029e-06,3,True
basal_to_goblet,XBP1,basal_to_goblet,viper,9.445386065000012,4.0,1.083816541671432e-05,4,True
basal_to_goblet,STAT1,basal_to_goblet,viper,9.025669933830043,6.0,1.6894384972492673e-06,5,True
basal_to_goblet,HNF4G,basal_to_goblet,viper,8.87170293221859,5.0,1.4011133631910911e-05,6,True
basal_to_goblet,ELF3,basal_to_goblet,viper,8.748386072062662,4.0,2.60658062016354e-06,7,True
basal_to_goblet,CCDC17,basal_to_goblet,viper,8.379170790465576,2.0,1.0554838116453505e-08,8,False
basal_to_goblet,FOXJ1,basal_to_goblet,viper,8.351040295423727,3.0,1.9573131320867113e-06,9,False
basal_to_goblet,MECOM,basal_to_goblet,viper,7.648345772847668,3.0,2.5122487496465273e-07,10,True
basal_to_goblet,ZNF474,basal_to_goblet,viper,7.587663016783936,3.0,1.4835132996196873e-05,11,False
basal_to_goblet,ZKSCAN1,basal_to_goblet,viper,6.8414897579336165,5.0,3.332646218666692e-05,12,True
basal_to_goblet,CREB3L2,basal_to_goblet,viper,6.768568620552674,3.0,5.8445081129236e-05,13,False
basal_to_goblet,NR2F6,basal_to_goblet,viper,6.74627491461513,4.0,0.0002103946776241,14,True
basal_to_goblet,ZNF189,basal_to_goblet,viper,6.724307884001997,3.0,0.000151463532953,15,False
basal_to_goblet,ZNF587,basal_to_goblet,viper,6.684169610637971,3.0,5.866616735490374e-06,16,False
basal_to_goblet,CREB3,basal_to_goblet,viper,6.456822802668109,4.0,0.0005124768125616,17,True
basal_to_goblet,FOXP4,basal_to_goblet,viper,6.376355863364793,3.0,5.117381607006887e-05,18,False
basal_to_goblet,RFX3,basal_to_goblet,viper,6.034014321231864,3.0,0.00020181422494,19,False
basal_to_goblet,RFX2,basal_to_goblet,viper,5.982056871354743,4.0,0.0003903563973766,20,True
basal_to_ciliated,FOXJ1,basal_to_ciliated,viper,30.752741630423632,3.0,6.685982059882065e-92,1,False
basal_to_ciliated,ZNF474,basal_to_ciliated,viper,29.44645740886963,3.0,2.8732800723981227e-81,2,False
basal_to_ciliated,RFX3,basal_to_ciliated,viper,28.95921256821053,3.0,1.2501208045878019e-76,3,False
basal_to_ciliated,CCDC17,basal_to_ciliated,viper,28.564445757194747,2.0,2.504988316756665e-95,4,False
basal_to_ciliated,RFX2,basal_to_ciliated,viper,27.492475709440058,4.0,2.8370677054561407e-57,5,True
basal_to_ciliated,CREM,basal_to_ciliated,viper,25.405276472432178,5.0,2.803288351485652e-62,6,True
basal_to_ciliated,NRF1,basal_to_ciliated,viper,21.709882112040965,5.0,2.1859624054161165e-48,7,True
